"","X359","X361","X363","X365","X367","X371","X373","X375","X379"
"g11956",170,161,187,188,183,258,279,173,275
"g2033",273,270,298,244,247,355,290,200,364
"g3789",461,352,384,193,188,138,70,306,136
"g56996",267,225,207,162,121,348,224,170,312
"g35040",625,534,833,660,642,500,387,428,504
"adi2mcaRNA32202_R1",214,175,241,155,192,347,181,122,298
"g17767",1663,1677,1726,1742,1004,1952,1654,1020,2204
"g52802",238,160,262,237,149,118,93,199,86
"g43371",512,617,509,388,444,580,635,412,750
"g16969",2015,2579,2336,2358,1873,2901,2227,1555,3064
"g33569",657,597,859,780,780,973,720,520,1028
"g42275",5411,5134,6687,4437,4755,3450,2761,4739,3522
"g34960",834,1137,2763,3130,2126,1766,1343,893,1810
"g62004",6960,7142,7550,6588,6887,9985,7695,4371,11428
"g36050",1407,1156,1356,846,1119,643,654,1045,786
"g36058",1828,2042,1993,1849,920,2316,1818,1778,2297
"g65922",102,100,178,192,111,59,49,203,47
"adi2mcaRNA11042_R0",1954,1736,2513,1899,1943,1338,1102,2001,1548
"g12045",81,85,119,140,75,227,167,83,260
"g4741",734,648,690,878,528,1208,873,463,946
"g26518",88,57,108,137,109,46,19,106,52
"g26515",916,824,1525,1068,1043,715,583,938,685
"adi2mcaRNA4893_R1",783,820,899,677,869,625,379,583,542
"g48453",526,530,506,488,388,650,441,365,718
"adi2mcaRNA10243_R2",468,429,615,440,401,342,277,348,291
"g63509",3471,3727,5038,5551,3131,7343,5511,3608,7336
"g39006",230,218,221,190,190,326,278,137,283
"g39003",4281,4787,4937,4590,3455,5355,4137,3098,5232
"adi2mcaRNA23180_R0",83,108,118,108,155,71,36,79,54
